Project ID,Start,Completion,Planned Completion,Projected/Actual Completion
640,2010-01-10,2012-09-30,2012-09-30,2012-09-30
641,2010-01-10,2012-09-30,2012-09-30,2012-09-30
642,2010-01-10,2012-09-30,2012-09-30,2012-09-30
643,2010-01-10,2012-09-30,2012-09-30,2012-09-30
644,2009-01-10,2013-09-30,2012-09-30,2012-09-30
645,2011-01-10,2013-09-30,2012-09-30,2012-09-30
646,2011-03-06,2011-03-12,2011-03-12,2011-02-12
647,2011-03-06,2012-02-15,2012-02-15,2012-01-02
648,2011-05-12,2012-05-30,,
649,2012-02-01,2012-12-31,,
650,2012-01-06,2012-12-31,,
651,2013-02-01,2013-06-28,,
652,2013-02-01,2013-06-30,,
654,,,,
656,2011-01-10,2012-09-30,,
657,2011-01-10,2012-03-31,2012-03-31,2012-03-31
658,2012-01-04,2012-09-30,,
659,2011-01-10,2012-09-30,,
660,2011-01-11,2012-09-30,,
661,2011-01-04,2011-09-30,2011-09-30,2011-09-30
662,2012-01-04,2012-09-30,2012-09-30,2012-09-30
663,2012-01-10,2013-03-31,,
664,2010-12-31,2011-03-31,2011-03-31,2011-03-31
665,2010-01-10,2011-09-30,2011-09-30,2011-09-20
666,2011-08-15,2012-04-30,2012-04-30,2012-04-30
667,2011-06-09,2012-12-31,,
668,2011-06-09,2012-12-21,2012-02-03,2012-02-03
669,2011-03-10,2012-07-09,2012-07-09,2012-07-09
670,2011-01-11,2012-05-31,2012-05-31,2012-05-31
671,2012-01-03,2012-08-24,2012-08-24,2012-08-24
672,2011-01-09,2012-09-30,2012-03-31,2012-01-09
673,2011-07-02,2012-09-30,2012-03-31,2012-03-31
674,2011-01-09,2012-09-30,2012-09-30,2012-09-30
675,2012-01-03,2013-02-28,,
676,2011-01-10,2013-01-31,,
677,2009-01-10,2011-09-30,2011-09-30,2011-09-30
678,2011-02-15,2012-03-26,2012-03-26,2012-04-24
679,2011-01-11,2012-05-29,2012-05-29,2012-08-31
681,2011-04-26,2011-01-11,2011-01-11,2012-01-26
682,2011-01-07,2012-09-30,2012-09-30,2012-09-30
683,2010-01-10,2016-09-30,,
684,2008-01-10,2015-06-30,2012-09-30,2012-09-30
685,2011-03-29,2015-09-30,2012-09-30,2012-09-30
686,2011-01-03,2013-09-30,,
688,2006-10-25,2015-04-30,,
689,2009-07-27,2011-08-22,,
690,2008-01-07,2010-01-18,,
691,2010-02-16,2012-03-30,2012-03-30,2012-10-09
692,2010-08-03,2012-11-13,,
693,2011-01-02,2013-02-19,,
694,2011-02-15,2013-05-29,,
695,2011-03-10,2012-09-28,2012-09-28,2012-09-28
696,2011-03-10,2012-09-28,2012-09-28,2012-09-28
697,2011-10-14,2013-02-13,2013-02-13,2012-08-28
698,2011-03-10,2013-12-19,,
700,2011-02-11,2013-03-13,2013-03-13,2012-08-11
701,2011-03-10,2012-09-28,,
702,2011-03-10,2012-09-28,,
703,2012-05-06,2012-09-28,,
704,2011-03-10,2012-09-28,2012-09-28,2012-09-28
705,2011-01-11,2012-10-31,,
706,2011-03-10,2012-09-28,,
707,2011-03-10,2012-09-28,,
708,2011-03-10,2012-09-28,2012-09-28,2012-09-28
709,2011-03-10,2012-09-28,2012-09-28,2012-09-28
710,2012-01-02,2012-09-05,2012-09-05,2012-06-14
711,2009-01-10,2012-02-28,2012-02-28,2012-09-28
717,2012-09-01,2012-08-31,,
719,2009-01-10,2012-09-30,2012-09-30,2012-09-30
720,2011-01-10,2012-09-30,,
721,2011-08-29,2012-04-30,2012-04-30,2012-06-30
722,2012-11-06,2013-10-08,,
723,2011-01-10,2012-09-30,2012-09-30,2012-09-30
724,2011-01-10,2012-09-30,2012-09-30,2012-09-30
725,2011-11-07,2011-12-15,2011-12-12,2011-12-12
726,2011-01-10,2012-09-30,,
727,2011-11-10,2011-12-29,2011-12-29,2011-12-29
728,2012-01-17,2012-08-06,2012-08-06,2012-06-26
729,2012-09-07,2012-02-11,,
730,2011-01-10,2012-03-31,2012-03-31,2012-03-31
731,2011-01-10,2012-09-30,,
733,2011-09-16,2014-08-15,,
734,2011-01-06,2012-02-01,2012-02-01,2012-11-03
735,2011-01-06,2012-01-01,2012-01-01,2012-11-03
736,2011-01-07,2012-06-30,2012-06-30,2012-06-30
737,2010-01-10,2011-09-30,2011-09-30,2011-09-30
738,2010-01-10,2011-09-30,2011-09-30,2011-09-30
739,2010-01-10,2011-09-30,2011-09-30,2011-09-30
740,2010-01-10,2011-09-30,2011-09-30,2011-09-30
741,2010-01-10,2011-09-30,2011-09-30,2011-09-30
742,2011-01-10,2012-09-30,2012-09-30,2012-09-30
744,2011-05-07,2011-09-30,2011-09-23,2011-10-14
745,2011-01-12,2012-01-03,,
746,2012-01-10,2013-09-30,,
747,2012-03-01,2012-01-31,,
748,,,,
749,,,,
750,,,,
751,2011-03-10,2012-09-28,2012-09-28,2012-09-28
752,2012-01-03,2012-06-29,2012-06-29,2012-06-29
753,2011-03-10,2012-09-28,,
754,2011-04-28,2013-01-04,,
755,2009-01-10,2012-02-01,2012-01-01,2012-06-30
756,2010-10-31,2014-03-31,,
757,2010-01-10,2019-09-30,,
758,2011-01-10,2012-09-30,,
759,2011-03-01,2011-09-30,2011-09-30,2011-09-30
760,2011-06-13,2012-09-30,2012-09-30,2012-09-30
761,2011-05-23,2011-08-31,2011-08-31,2011-08-31
762,2011-09-05,2011-09-09,2011-09-09,2011-09-14
763,2011-01-02,2011-01-08,2011-01-08,2011-01-08
764,2011-01-10,2012-07-30,,
765,2012-01-03,2012-09-30,,
766,2011-07-10,2012-08-31,2012-08-31,2012-08-31
767,2011-03-10,2012-03-31,2012-03-31,2012-03-31
768,2011-03-10,2012-09-30,,
769,2012-03-04,2012-09-28,2012-09-28,2012-09-28
770,2011-03-10,2012-09-30,,
771,2011-03-10,2012-09-30,,
772,2011-03-17,2011-09-30,2011-09-30,2011-09-30
773,2011-04-04,2011-09-30,2011-09-30,2011-09-30
774,2011-01-04,2011-09-30,2011-09-30,2011-09-30
775,2011-01-10,2012-09-30,,
776,2011-01-10,2012-09-30,,
777,2011-01-10,2012-09-30,,
778,2011-01-10,2012-09-30,2012-09-30,2012-09-30
779,2010-01-10,2011-10-25,2011-10-23,2011-11-17
780,2011-01-12,2012-06-30,,
781,2011-01-10,2012-09-30,,
782,2012-01-10,2013-09-30,,
783,,,,
784,,,,
785,,,,
786,2010-01-10,2011-09-30,2011-09-30,2011-09-30
787,2011-01-10,2012-09-30,,
788,2010-01-10,2011-09-30,2011-09-30,2011-09-30
789,2010-01-10,2011-09-30,2011-09-30,2011-09-30
790,2010-01-10,2011-09-30,2011-09-30,2011-09-30
791,2009-12-07,2016-01-08,2012-08-30,2013-02-28
792,2010-01-10,2011-09-30,2011-09-30,2011-10-31
793,2010-01-10,2011-09-30,2011-09-30,2011-09-30
794,2011-01-10,2012-09-30,2012-09-30,2012-09-30
795,2011-11-27,2012-09-30,2012-09-30,2012-09-30
796,2011-01-10,2012-09-30,2012-06-30,2012-09-30
797,2011-01-10,2012-09-30,2012-03-31,2012-09-30
798,2011-01-10,2012-09-30,,
799,2011-01-10,2011-12-31,2011-12-31,2011-12-30
800,2012-01-01,2012-09-30,2012-06-30,2012-09-30
801,2012-01-07,2012-09-30,,
802,2011-01-10,2012-09-30,2012-09-30,2012-09-30
803,2011-01-10,2012-09-30,2012-09-30,2012-09-30
804,2011-01-07,2011-10-30,2011-10-30,2011-10-30
805,2010-01-10,2011-09-30,2011-09-30,2011-09-30
806,2010-01-10,2011-11-30,2011-11-30,2011-11-30
807,2012-01-04,2012-09-30,,
808,2011-02-10,2012-09-30,2012-09-30,2012-09-30
809,2011-03-10,2012-09-30,,
810,2011-03-10,2012-09-30,2012-12-05,2012-09-30
811,2011-03-10,2012-09-30,2012-09-30,2012-09-30
812,2011-03-10,2012-09-30,2012-09-30,2012-09-30
813,2011-03-10,2012-09-30,2012-09-30,2012-09-30
814,2011-03-10,2012-09-30,2012-09-30,2012-09-30
815,2011-03-10,2012-09-30,2012-09-30,2012-09-30
816,2011-03-10,2012-09-30,2012-09-30,2012-09-30
817,2011-03-10,2012-09-30,2012-09-30,2012-09-30
818,2010-01-10,2011-09-30,2011-09-30,2011-09-30
819,2011-01-10,2012-09-30,2012-09-30,2012-09-30
820,2011-01-10,2012-09-30,2012-09-30,2012-09-30
821,2011-01-10,2012-09-30,2012-09-30,2012-09-30
822,2011-01-10,2012-09-30,2012-09-30,2012-09-30
823,2011-01-10,2012-09-30,2012-09-30,2012-09-30
824,2010-01-10,2011-09-30,2011-09-30,2011-09-30
825,2011-03-10,2012-09-30,2012-09-30,2012-09-30
826,2011-03-10,2012-09-30,2012-09-30,2012-09-30
827,2011-03-10,2012-09-30,2012-09-30,2012-09-30
828,2011-03-10,2012-09-30,2012-09-30,2012-09-30
829,2011-03-10,2012-09-30,2012-09-30,2012-09-30
830,2011-03-10,2012-09-30,2012-09-30,2012-09-30
831,2010-01-10,2011-09-30,2011-09-30,2011-09-30
832,2011-10-27,2012-09-30,2012-09-30,2012-09-30
833,2011-01-10,2012-09-30,,
834,2011-01-10,2012-09-30,,
835,2011-01-10,2012-09-30,2012-09-30,2012-09-30
836,2011-01-10,2012-09-30,2012-09-30,2012-09-30
837,2008-01-10,2012-09-30,2012-04-30,2012-08-31
841,2011-01-07,2017-09-30,2012-09-27,2012-09-27
842,2011-01-07,2017-09-30,2012-09-27,2012-09-27
843,2009-01-06,2014-06-30,2012-05-30,2012-05-30
844,2008-01-10,2012-06-30,2012-06-30,2012-06-29
845,2009-06-02,2015-04-20,2012-08-30,2012-08-30
846,2008-01-10,2015-03-27,2012-03-31,2012-03-31
847,2010-12-15,2012-08-28,2012-08-28,2012-08-28
848,2011-06-30,2012-12-31,,
849,2011-05-27,2011-11-18,2011-11-17,2011-11-17
850,2010-12-15,2012-12-31,,
851,2011-03-01,2011-09-30,2011-09-30,2011-09-30
852,2011-01-10,2012-12-28,2012-12-28,2013-03-27
853,2011-03-10,2012-09-28,2012-09-28,2012-09-28
854,2011-10-19,2012-11-30,,
855,2012-01-05,2013-02-28,2013-02-28,2013-06-30
856,2012-01-05,2013-02-28,2013-02-28,2013-06-30
857,2011-01-03,2012-09-30,2012-09-30,2012-09-30
858,2011-12-15,2012-09-30,2012-09-30,2012-09-30
859,2011-12-15,2012-09-30,2012-09-30,2012-09-30
860,2010-09-13,2012-10-30,2012-10-30,2012-10-30
861,2010-01-10,2013-10-30,,
862,2011-01-09,2013-07-30,,
863,2011-01-09,2013-09-30,,
864,2012-09-02,2015-03-16,2012-08-18,2012-11-15
865,2012-01-04,2016-05-11,,
866,2010-01-08,2013-06-30,2012-09-30,2012-09-30
867,2010-01-10,2012-06-30,2012-06-30,2012-09-30
868,2010-01-10,2013-01-31,2012-10-31,2012-10-31
869,2010-01-10,2014-09-30,2012-09-30,2012-09-30
870,2010-01-10,2014-09-30,2012-10-31,2012-10-31
871,2011-01-10,2013-09-30,,
872,2010-01-10,2014-09-30,2012-09-30,2012-09-30
873,2010-01-10,2013-08-31,2012-08-31,2012-08-31
874,2010-01-10,2013-09-30,2012-07-30,2012-05-29
875,2010-01-10,2013-09-30,2012-09-30,2012-09-30
876,2010-01-10,2013-01-31,2012-04-30,2012-11-05
877,2010-01-10,2013-12-31,2012-09-30,2012-09-30
878,2010-01-10,2014-09-30,2012-09-30,2012-09-30
879,2010-07-21,2011-12-30,2011-12-16,2012-04-20
880,2010-06-29,2012-06-04,2012-06-04,2012-08-31
881,2010-02-18,2012-09-01,2011-03-16,2012-11-01
882,2010-02-02,2011-10-18,2011-04-29,2011-10-18
883,2010-01-09,2012-01-31,2012-01-31,2012-01-30
884,2010-10-04,2011-10-31,2011-10-31,2011-10-31
885,2010-03-08,2011-05-10,2011-09-21,2011-09-28
886,2010-06-24,2012-03-27,2012-05-03,2012-05-03
887,2010-03-03,2012-08-27,2011-09-20,2012-08-27
888,2010-08-19,2012-10-31,2012-10-31,2012-10-26
889,2010-01-06,2011-08-18,2011-08-08,2011-08-18
890,2010-09-12,2011-11-29,2011-10-13,2011-10-13
891,2010-09-12,2012-02-16,2011-04-10,2012-05-04
892,2010-10-14,2012-02-29,2011-12-21,2012-02-29
893,2010-09-12,2011-12-30,2011-12-30,2011-12-30
894,2011-07-26,2012-11-29,2012-11-29,2012-11-29
895,2011-01-31,2012-04-24,,
896,2011-02-03,2011-12-29,2011-12-29,2011-12-29
897,2011-12-01,2011-10-26,2011-10-26,2011-10-26
898,2011-04-03,2011-11-17,2011-02-11,2011-11-17
899,2011-09-02,2012-01-27,2012-04-01,2012-01-30
900,2011-07-27,2012-11-20,2012-12-10,2012-10-31
901,2011-01-31,2011-11-22,2011-11-22,2011-11-22
902,2011-01-03,2012-09-28,2012-09-28,2012-09-28
903,2011-06-06,2012-08-16,2012-03-08,2012-04-09
904,2011-04-02,2012-12-04,2012-03-19,2012-03-27
905,2011-04-19,2012-08-24,2012-08-24,2012-08-28
906,2010-02-12,2012-05-31,2012-05-31,2012-08-31
907,2011-07-22,2012-12-20,2012-09-01,2012-12-20
908,2011-08-19,2012-09-28,2012-09-27,2012-09-28
909,2010-02-28,2012-05-09,2012-05-09,2012-04-10
910,2010-12-16,2011-12-16,2011-07-10,2011-12-16
911,2011-12-09,2012-12-14,2012-07-12,2012-12-14
912,2011-12-21,2012-05-25,2012-05-25,2012-08-23
915,2011-09-13,2012-08-22,2012-03-05,2012-07-20
916,2011-12-09,2012-10-30,2012-08-29,2012-10-24
920,2012-01-31,2012-09-28,2012-09-28,2012-06-09
921,2011-03-10,2012-09-28,2012-09-28,2012-08-31
922,2011-12-16,2012-12-18,2012-12-17,2012-12-18
926,2011-01-09,2012-11-30,2012-02-04,2012-07-11
927,2012-01-25,2012-12-12,2012-09-28,2012-12-12
929,2011-01-02,2012-02-03,2012-02-03,2012-02-03
930,2010-01-10,2011-09-30,2011-09-25,2011-09-30
931,2010-01-10,2011-09-30,2011-09-30,2011-09-30
932,2010-01-10,2011-09-30,2011-09-30,2011-09-30
933,2010-01-10,2011-09-30,2011-09-30,2011-09-30
934,2010-01-10,2011-09-30,2011-09-30,2011-09-30
936,2011-10-27,2012-12-31,2012-12-31,2012-12-31
938,2011-01-10,2012-09-28,2012-09-28,2012-09-28
940,2011-10-20,2012-12-31,2012-12-31,2012-12-31
941,2011-03-10,2013-09-10,2013-09-10,2013-09-10
942,2012-10-17,2013-09-30,,
943,2011-08-11,2012-04-30,2012-04-30,2012-04-30
946,2011-01-10,2012-09-28,2012-09-28,2012-09-28
947,2012-11-07,2013-09-30,,
949,2011-03-10,2012-12-31,2012-12-31,2012-12-31
952,2011-07-09,2012-09-28,2012-09-28,2012-09-28
961,2011-08-31,2012-12-28,2012-12-28,2012-12-28
962,2012-02-28,2013-06-28,2013-06-28,2013-06-28
963,2011-07-28,2012-10-02,2012-01-17,2012-10-02
964,2011-08-06,2012-03-04,2012-03-04,2012-08-30
965,2011-01-17,2012-08-24,2012-05-25,2012-08-24
966,2009-09-04,2011-12-30,2011-12-30,2011-12-30
967,2011-01-08,2012-11-06,2012-11-06,2012-11-06
968,2012-02-01,2013-04-19,2013-04-19,2013-04-19
971,2012-02-04,2012-11-23,2012-11-23,2012-11-23
972,2010-01-10,2011-09-30,2011-09-30,2011-09-30
973,2011-06-16,2012-09-28,2012-09-28,2012-09-28
974,2011-11-18,2014-09-30,,
975,2011-11-18,2014-09-30,2012-09-30,2012-09-30
976,2011-11-18,2014-09-30,2012-09-30,2012-09-30
977,2011-11-18,2014-09-30,2012-09-30,2012-09-30
979,2011-01-07,2012-01-10,2012-01-10,2012-01-10
980,2011-01-07,2012-09-30,2012-09-30,2012-09-30
981,2011-01-07,2012-09-30,2012-09-30,2012-09-30
983,2011-03-10,2013-02-09,2012-09-28,2012-02-10
984,2011-03-10,2013-02-09,2012-03-30,2011-12-23
985,2011-01-11,2013-09-30,,
986,2011-01-11,2013-09-30,,
987,2010-01-10,2012-03-30,2012-03-30,2012-03-30
988,2010-01-10,2012-06-30,2012-06-30,2012-06-30
989,2010-01-10,2012-06-07,2012-06-07,2012-09-30
990,2010-01-10,2014-09-30,,
991,2011-03-10,2015-09-30,2012-09-28,2012-09-28
992,2011-03-01,2012-03-30,2012-03-30,2012-05-30
993,2010-01-10,2015-09-30,2012-09-28,2012-09-28
994,2011-01-05,2012-01-31,2012-01-31,2012-01-31
995,2006-01-11,2012-09-30,2012-09-30,2012-09-30
996,2010-01-19,2012-07-27,2012-05-07,2012-09-13
997,2010-08-18,2012-01-03,2012-01-03,2012-07-09
998,2010-01-10,2012-09-03,2012-01-26,2012-05-23
999,2010-01-11,2011-01-12,2011-01-12,2011-12-15
1000,2010-08-11,2012-03-30,2012-03-30,2012-09-13
1001,2010-02-08,2011-07-12,2011-07-12,2012-01-30
1002,2011-10-06,2012-03-30,2012-03-30,2012-04-09
1003,2011-08-25,2012-03-31,2012-03-31,2012-09-28
1004,2011-01-12,2012-11-30,2012-11-30,2012-10-19
1005,2011-01-12,2012-11-30,2012-11-30,2012-09-17
1006,2011-01-03,2011-07-11,2011-03-11,2012-12-07
1007,2010-07-28,2012-05-29,2012-03-17,2012-03-31
1008,2010-01-10,2011-09-30,2011-09-30,2011-09-30
1009,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1010,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1011,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1012,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1013,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1014,2009-02-06,2014-12-31,2012-12-31,2012-12-31
1015,2010-01-03,2011-11-15,2011-11-15,2011-05-11
1016,2010-09-04,2012-05-30,2012-05-30,2012-06-05
1017,2011-05-15,2012-12-15,2012-09-30,2012-09-30
1018,2012-02-05,2013-09-30,2012-10-15,2012-10-15
1019,2011-01-06,2012-12-15,2012-09-30,2012-09-30
1020,2012-05-15,2015-12-15,2012-01-10,2012-01-10
1021,2010-01-10,2011-09-30,2011-09-30,2011-09-30
1022,2011-01-10,2012-09-30,2012-07-31,2012-01-09
1023,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1024,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1025,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1026,2011-10-24,2012-09-30,2012-09-30,2012-09-30
1027,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1028,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1029,2010-01-10,2011-09-30,2011-09-30,2011-09-30
1030,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1031,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1032,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1033,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1034,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1035,2011-01-06,2011-09-30,2011-09-30,2011-09-30
1036,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1038,2011-01-10,2012-09-30,,
1039,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1040,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1041,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1042,2011-01-10,2012-09-30,2012-09-28,2012-09-28
1043,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1044,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1045,2010-04-19,2013-04-16,,
1046,2011-11-16,2014-03-31,,
1048,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1049,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1050,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1051,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1052,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1053,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1054,2010-01-10,2011-09-30,2011-09-30,2011-09-30
1055,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1056,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1057,2011-03-10,2012-08-25,2012-08-25,2012-09-30
1058,2011-03-10,2012-04-28,,
1059,2011-03-10,2012-01-31,2012-01-31,2012-09-04
1060,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1061,2011-03-10,2012-09-30,,
1062,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1063,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1064,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1065,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1066,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1067,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1068,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1069,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1070,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1071,2010-05-24,2014-06-30,,
1072,2011-01-01,2013-09-30,,
1073,2010-01-10,2011-09-30,2011-09-30,2011-09-30
1074,2011-01-10,2012-09-30,2012-03-31,2012-03-31
1075,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1076,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1077,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1078,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1079,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1080,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1081,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1082,2011-03-10,2012-09-30,2012-09-30,2012-09-30
1083,2000-01-10,2013-09-30,,
1084,2012-01-10,2013-09-30,,
1085,2011-01-07,2011-12-31,2011-09-30,2011-11-27
1086,2012-03-30,2012-09-30,2012-09-30,2012-09-30
1087,2010-10-01,2012-01-06,2012-01-06,2012-01-06
1088,2008-08-09,2012-09-28,,
1090,2011-03-10,2012-03-31,2012-03-30,2012-03-30
1091,2012-01-04,2012-09-30,,
1092,2002-01-10,2018-09-28,2012-09-28,2012-09-28
1093,2002-01-10,2018-09-28,2012-09-28,2012-09-28
1094,2002-01-10,2018-09-28,,
1095,2002-01-10,2018-09-28,2012-09-28,2012-09-28
1096,2002-01-10,2018-09-28,2012-09-28,2012-09-28
1097,2011-01-10,2012-09-30,,
1099,2011-02-14,2011-12-30,2011-12-30,2012-05-17
1101,2011-08-15,2011-12-30,2011-12-30,2012-10-31
1102,2011-03-10,2012-03-30,2012-03-30,2012-05-21
1104,2011-01-10,2012-09-30,,
1105,2004-09-30,2013-09-30,,
1106,2011-01-10,2012-09-30,,
1107,2011-01-10,2012-09-30,,
1108,2011-01-10,2012-02-29,2012-02-29,2012-02-29
1109,2012-01-03,2012-05-31,2012-05-31,2012-05-31
1110,2012-01-06,2012-08-31,,
1111,2012-01-09,2012-09-30,,
1112,2011-01-10,2011-12-31,2011-12-31,2012-02-29
1113,2012-01-08,2012-12-31,,
1114,2011-01-10,2015-09-30,,
1115,2011-01-10,2013-01-31,,
1116,2011-01-10,2012-09-30,,
1117,2010-12-01,2016-09-30,,
1118,2008-09-26,2022-03-31,,
1119,2011-01-04,2011-10-31,2011-10-31,2011-10-31
1120,2011-08-07,2012-03-31,2012-03-31,2012-06-30
1121,2011-09-15,2012-12-31,2012-12-31,2012-12-31
1122,2012-03-30,2015-09-30,2012-09-30,2012-09-30
1123,2011-01-07,2013-07-31,,
1124,2011-01-07,2013-07-31,,
1125,2011-01-07,2012-04-30,2012-04-30,2012-05-31
1126,2012-01-06,2013-02-28,,
1127,2010-01-10,2013-09-30,2013-09-30,2014-09-30
1128,2011-01-10,2012-09-30,,
1129,2012-01-04,2013-09-30,,
1130,2011-01-02,2012-09-30,2011-08-31,2011-07-31
1131,2011-06-15,2013-09-30,,
1132,2011-01-10,2013-09-30,,
1133,2010-10-11,2012-10-31,,
1134,2011-05-27,2013-09-30,2011-09-30,2011-09-28
1135,2011-09-05,2011-10-31,2011-10-31,2011-12-31
1136,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1137,2010-07-19,2016-09-30,,
1138,2011-03-10,2012-09-28,,
1139,2011-03-10,2012-09-28,,
1140,2011-01-04,2011-10-14,2011-11-10,2011-11-10
1141,2009-01-10,2011-12-30,2011-12-30,2011-12-30
1142,1998-01-10,2021-09-30,2012-12-31,2012-12-31
1143,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1144,2008-08-09,2012-05-18,2012-05-18,2012-05-18
1145,2011-03-08,2012-05-31,2012-05-05,2012-04-30
1146,2012-02-15,2012-06-30,2012-06-30,2012-06-23
1147,2011-01-02,2012-12-31,,
1148,2005-01-10,2016-09-30,,
1149,2005-01-10,2016-09-30,2012-03-30,2012-09-30
1150,2011-03-10,2016-09-30,,
1151,2011-01-12,2016-09-30,,
1152,2011-03-10,2012-09-28,,
1153,2011-01-07,2012-09-30,2012-03-31,2012-03-19
1154,2011-03-10,2012-03-30,2012-03-30,2012-02-15
1155,2011-01-10,2012-05-31,,
1156,2011-01-07,2012-06-30,2012-06-30,2012-06-30
1157,2011-01-07,2012-09-30,2011-09-30,2011-09-30
1158,2008-01-10,2015-09-30,,
1159,2011-06-15,2012-12-31,,
1160,2012-01-07,2013-01-07,,
1161,2011-01-10,2012-09-30,,
1162,2011-10-17,2011-07-11,2011-07-11,2011-10-11
1163,2011-08-11,2012-05-02,2012-05-02,2012-05-02
1164,2011-04-28,2013-01-18,2012-09-30,2012-09-30
1165,2010-03-03,2013-03-19,2011-08-30,2011-08-30
1166,2010-01-10,2012-12-31,,
1167,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1168,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1169,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1170,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1171,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1172,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1173,2011-05-07,2012-09-28,,
1174,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1175,2011-05-09,2012-09-30,,
1176,2012-07-23,2012-09-30,,
1177,2010-01-10,2011-11-15,2011-09-30,2011-10-15
1178,2011-01-10,2012-11-15,,
1179,2010-01-10,2013-09-30,2012-09-30,2012-09-30
1180,2010-01-10,2013-09-30,2012-09-30,2012-09-30
1181,2009-01-04,2011-09-30,2011-09-30,2011-09-30
1182,2010-01-10,2013-09-30,,
1184,2010-01-10,2011-09-30,2011-09-30,2011-09-30
1185,2011-03-10,2012-09-28,2012-09-28,2012-09-28
1186,2011-03-10,2012-09-28,2012-09-28,2012-09-28
1188,2011-01-07,2011-09-30,2011-09-30,2011-09-30
1189,2010-01-10,2011-09-30,2011-09-30,2011-09-30
1190,2011-03-10,2012-09-28,2012-09-28,2012-09-28
1191,2011-03-10,2012-09-28,2012-09-28,2012-09-28
1192,2011-01-10,2012-09-30,2012-09-28,2012-09-28
1193,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1194,2010-01-10,2011-09-30,2011-09-30,2011-08-25
1195,2009-01-03,2011-09-30,2011-09-30,2011-09-14
1196,2011-01-04,2012-09-30,2012-09-30,2012-09-30
1197,2010-01-04,2013-09-30,2012-09-30,2012-09-30
1198,2011-01-10,2012-09-30,2012-09-30,2012-09-30
1199,2010-01-11,2013-12-31,2012-09-30,2012-09-30
1200,2009-01-03,2013-06-30,2012-09-30,2012-09-30
1201,2010-01-10,2013-09-30,2013-01-03,2013-01-03
1202,2010-01-10,2013-09-30,2012-09-30,2012-10-31
1203,2011-01-07,2013-01-31,2013-01-31,2013-02-28
1204,2011-01-07,2012-09-30,2012-09-30,2012-09-30
1205,2007-07-12,2012-06-15,2011-08-31,2013-08-02
1206,2007-07-06,2012-10-16,,
1207,2006-04-12,2013-01-24,,
1208,2008-02-28,2012-10-16,2012-06-02,2012-11-28
