,Unnamed: 0,Unnamed: 0.1,Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time
511,511,511,007-000003146,56.0,7.0,Department of Defense,Consolidated Afloat Networks Enterprise Service,2683.0,P3146-102,Limited Deployment,Limited Deployment (LD) Contract Award after a down-select to single CANES design. Includes follow-on effort to procure LD fielding units and all associated production activities.,31/01/2012,31/12/2013,31/12/2013,31/12/2013,196.602,196.602,29/02/2012,11:51:51
512,512,512,007-000003538,57.0,7.0,Department of Defense,Next Generation Enterprise Network,2684.0,P3538-101,Next Generation Enterprise Network (NGEN) - Transition from NMCI to NGEN,"Next Generation Enterprise Network (NGEN) is an enterprise network which will provide secure, net-centric data and services to Navy and Marine personnel and represents the continuous evolution of information technology at the Department of Navy. NGEN forms the foundation for the DON''s future Naval Network Environment that will be interoperable with and leverage other Department of Defense-provided Net-Centric Enterprise Services.  As the successor to the Navy Marine Corps Internet (NMCI), is being developed to provide increased Navy command and control through ownership of the network and decrease costs through competition of various segments of the operation instead of a single service contract.  This project encompasses the transition from NMCI to NGEN.",10/08/2009,30/04/2014,22/02/2012,12/11/2012,7.8,0.0,11/05/2012,07:17:09
513,513,513,007-000004035,58.0,7.0,Department of Defense,"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",2687.0,P4035-101,"Cyber Identity, Monitoring, & Enforcement",Expand the DMDC classified environment to provide a high availability environment in collaboration with DoD partners.,16/09/2011,30/09/2014,,,0.9159999999999999,0.9159999999999999,02/04/2012,09:35:52
514,514,514,007-000004035,58.0,7.0,Department of Defense,"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",2688.0,P4035-102,T3 Transition Requirements,"Develop and execute enrollment, operations, and customer service improvements, as well as the security mandates, management controls and transition requirements for T3.",16/06/2011,30/04/2013,,,15.56,15.56,07/03/2012,07:25:01
515,515,515,007-000004035,58.0,7.0,Department of Defense,"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD",3043.0,P4035-103,RAPIDS Lifecycle Refresh,"Implement a lifecycle refresh on RAPIDS, upgrading the operating system from Window XP to Windows 7.  This upgrade will require on-site worlwide implementation.",02/04/2012,30/09/2013,,,3.99,3.99,07/03/2012,07:25:01
516,516,516,007-000005070,59.0,7.0,Department of Defense,GLOBAL COMBAT SUPPORT SYSTEM - ARMY,2692.0,P5070-101,Global Combat Support System- Army,"GCSS-Army will modernize logistics by implementing best business practices to streamline supply operations, maintenance operations, property accountability, logistics management and integration procedures. In this project, the Program will proceed to a Full Deployment Decision (FDD) and seek permission to deploy the GCSS-Army ERP Solution Wave I to the Army Supply Support Activities (SSA)s. Wave I deployment will provide the supply functionality to the SSAs necessary to enable the future deployment of GCSS-Army Release 1.1 to subordinate tactical units. Release 1.2 will complete its Plan/Analyze Phase and begin its Design/Build Phase. Release 1.2 will add a disconnected capability to the baseline and added Financial Capabilities.",12/10/2000,30/09/2027,,,257.98,254.922,15/03/2012,12:32:00
517,517,517,007-000006046,60.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),2695.0,P6046-101,Global Command and Control System - Maritime (GCCS-M) Procurement and Fielding,"Procure associated software licenses and install GCCS-M on 18 Group/Unit Level ships and 4 Force Level ships, as well as provide associated logistics support and initial training efforts.",01/10/2011,30/09/2012,30/09/2012,30/09/2012,5.937,5.937,03/01/2012,11:07:26
518,518,518,007-000006046,60.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M),2696.0,P6046-102,GCCS-M Increment 2 Group Level Software Development,"Development, integration, and testing of GCCS-M Increment 2 software for Group Level ships.",02/10/2011,30/09/2012,30/09/2012,30/09/2012,17.58,17.58,16/01/2012,09:44:35
519,519,519,007-000003855,61.0,7.0,Department of Defense,Virtual Interactive Processing System,2685.0,P3855-101,Virtual Interactive Processing System (VIPS),"The Virtual Interactive Processing System (VIPS) will modernize and automate the Information Technology (IT) capabilities for qualifying Applicants into the Military Service during wartime, peacetime, and mobilization.  VIPS will enable a responsive, flexible and efficient means to qualify Applicants to meet manpower resource requirements for the uniformed Services, Coast Guard, and National Guard routine and contingency operations.  VIPS will be the future accessioning system to be used by the US Military Entrance Processing Command (USMEPCOM) and will replace their legacy system, USMEPCOM Integrated Resource System (USMIRS).  USMEPCOM serves as the single entry point for determining the physical, aptitude, and conduct qualifications of candidates for enlistment.  VIPS will provide the capability to electronically acquire, process, store, secure, and seamlessly share personnel data across the Accessions Community of Interest (ACOI).  When fully implemented, VIPS will reduce the cycle time required to induct enlistees to meet the needs of Homeland Defense, reduce the number of visits to the Military Entrance Processing Stations (MEPS), reduce manual data entry errors, and reduce attrition through better pre-screening practices.  The implementation of a Modular Open System Architecture (MOSA) approach will enable accession data to be securely available to applicants and ACOI partners such as Recruiting and Training Commands, Defense Manpower Data Center (DMDC), Military Health System, Human Resource Management (HRM), and Defense Travel Management Office (DTMO).  VIPS will support compliance with Department of Defense (DoD) direction for a net-centric environment and take advantage of automated data capture technology, e.g., medical equipment with the capability to capture and electronically transmit exam results.  The accessioning system of the future will be location independent, virtually paper-free, and automated to assist with bringing the right people at the right time to operational commanders.  The VIPS Program has not yet been baselined.",30/09/2004,30/09/2025,,,65.87,43.085,23/02/2012,10:30:18
520,520,520,007-000006189,63.0,7.0,Department of Defense,JOINT PRECISION APPROACH AND LANDING SYSTEM,2698.0,P6189-101,Joint Precision Approach and Landing System (JPALS) Increment 1A,"The Joint Precision Approach and Landing System (JPALS) program is a Joint Program with Tri-Service partners for acquisition of JPALS including the Navy Program Executive Office, Tactical (PEO(T))/Program Manager, Air (PMA213), Patuxent River, MD, Air Force (653rd Electronic Systems Wing (653 ELSW)), Hanscom Air Force Base (AFB), MA), and Army (PEO Aviation, Redstone Arsenal, AL). JPALS is a Global Positioning System (GPS)-based precision approach and landing system that will replace several aging and obsolete aircraft landing systems with a family of systems that is more affordable and will function in more operational environments, and support all Department of Defense (DoD) Land and Sea Based applications. The National Defense Strategy of the United States of America calls for highly mobile forces that can rapidly respond to crises worldwide. Success in meeting this challenge requires the ability to land aviation assets virtually anywhere, at any time. JPALS will provide this capability by being rapidly deployable, survivable and interoperable among the U.S. Services and with U.S. allies, as well as with civil aircraft and landing facilities. JPALS will eventually support unmanned and highly automated aircraft, and will be able to operate during restricted Emission Control (EMCON) conditions.The approved JPALS Acquisition Strategy has acquisition broken into seven increments, based on technology maturity and Service needs. Increment 1 Sea Based JPALS is separated into two phases; Increment 1A ship based systems and Increment 1B aircraft integration. Navy is the lead for Increments 1A and 1B only.",15/09/2008,30/06/2014,30/06/2014,30/06/2014,1274.29,1274.29,26/10/2011,09:10:45
521,521,521,007-000006190,64.0,7.0,Department of Defense,JTRS - GROUND MOBILE RADIOS,2699.0,P6190-101,JTRS- Ground Mobile Radios,"The JTRS GMR is the next-generation tactical vehicular radio for use by the Army, Air Force and Marine Corps.",30/01/2002,15/08/2048,,,1511.36,1511.36,07/03/2012,07:27:24
522,522,522,007-000006170,65.0,7.0,Department of Defense,Mission Planning Systems (Increment III),2697.0,P6170-101,Sustainment of Platform MPEs,Sustainment of Platform MPEs.,01/03/2010,01/03/2014,,,2.8,2.8,26/10/2011,09:10:44
523,523,523,007-000006191,66.0,7.0,Department of Defense,AF NC3-MEECN Modernization,2801.0,P6191-101,Minuteman MEECN Program Upgrade (MMP-U),"Provides ICBM forces with survivable, reliable and secure VLF/LF and AEHF connectivity from the President.  MMP-U also provides enhanced operator terminal control to allow the missile crew to switch between satellites.",15/01/2005,30/12/2015,,,73.96600000000002,73.96600000000002,31/10/2011,07:48:18
524,524,524,007-000006191,66.0,7.0,Department of Defense,AF NC3-MEECN Modernization,2802.0,P6191-102,Global Aircrew Strategic Network Terminal (Global ASNT),"NC2 system replacing existing mission-deficient unsustainable systems at bomber, tanker and reconnaissance wing command posta and mobile support teams. Provides an AEHF, VLF/LF and UHF aircrew alerting system.",01/10/2011,30/12/2020,30/09/2012,30/09/2012,16.391,16.391,31/10/2011,07:48:18
525,525,525,007-000006312,69.0,7.0,Department of Defense,DEFENSE TRAVEL SYSTEM,2701.0,P6312-101,Operations and Sustainment,"Personnel, facilities, equipment, tools, materials, supervision and other items and services needed to operate and sustain the Defense Travel System.",05/09/2010,04/09/2012,,,51.42,51.42,29/02/2012,11:38:47
526,526,526,007-000006312,69.0,7.0,Department of Defense,DEFENSE TRAVEL SYSTEM,2702.0,P6312-102,DTS Production Environment Development,"Personnel, facilities, equipment, tools, materials, supervision, and other items and services, as needed to analyze and develop proposed functionality, interfaces or technology insertion in the DTS.",03/01/2011,04/09/2012,,,8.869,8.869,29/02/2012,11:24:02
527,527,527,007-000006298,71.0,7.0,Department of Defense,LOGISTICS MODERNIZATION PROGRAM,2700.0,P6298-101,Logistics Modernization Program - Increment 2 (Expanded Industrial Base (EIB)),"LMP - Increment 1 was fully fielded as of October 2010 and is on target to achieve Full Deployment status on the deployed operational baseline in December 2011.   The objective of the LMP - Increment 2 is to enhance LMP by implementing and fully integrating the documented and approved Expanded Industrial Base (EIB) requirements. The EIB requirements include Shop Floor Automation (SFA), Item Unique Identification (IUID), Enterprise Equipment Master (EEM), Automated Identification Technology (AIT), and Plant Equipment Maintenance (PM). Over the past five years, the EIB requirements have emerged from the DoD, the Army and the AMC industrial base. Under close examination of the total requirements set and in line with the current LMP solution, it became clear that EIB requirements were very interrelated and needed to be designed and tested together in a comprehensive solution based on the SAP capabilities. Examination of the complexity involved in implementing these requirements independently is neither logical nor supportable within current resource constraints. Accordingly, the Army determined the need to address these requirements by expanding the LMP solution. The solution for these requirements will be designed, built, and tested together and implemented in cohesive packages to the LMP user community that will meet the critical needs of the various stakeholders, enabling the Department to achieve a clean audit while providing interoperable tools for total asset visibility across the Defense Enterprise.  Ultimately, LMP - Increment 2 will enhance the efficiency and effectiveness of the currently deployed solution by providing the critical (e.g. must have) SFA requirements integrated with IUID, EEM, AIT, and PM. The enhancements provided by EIB will provide access to real-time supply chain information at all levels of the enterprise down through the shop floor, and will result in manufacturing (MAN) and remanufacturing (REMAN) capabilities that will improve visibility of work-in-process (WIP), quality management, capacity planning, and traceability/genealogy capability; and implementation of electronic work instructions. Implementation of a consolidated approach of these enhancements at the depots and arsenals will help minimize re-work, causative research, material cost escalation and labor costs increases and comply with the DoD IUID implementation directive.",15/01/2012,15/10/2015,31/12/2012,31/12/2012,32.67,32.67,26/07/2012,11:53:33
528,528,528,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2709.0,P6491-101,Software Development,Software and system engineering for GCCS/DRRS-A modernization.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,0.37,0.37,16/01/2012,10:44:32
529,529,529,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2710.0,P6491-102,Software Development,Data Engineering for GCCS-A/DRRS-A modernization.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,1.416,1.416,16/01/2012,10:44:32
530,530,530,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2711.0,P6491-103,Software Development,Software development of automated command and control tools for GCCS-A/DRRS-A modernization.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,16.525,16.525,16/01/2012,10:44:32
531,531,531,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2712.0,P6491-104,Test and Evaluation,Test and evaluaiton for the GCCS-A/DRRS-A modernization.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,0.5,0.5,16/01/2012,10:44:32
532,532,532,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2713.0,P6491-105,PMO Support,Support and management for GCCS-A/DRRS-A modernization.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,1.101,1.101,16/01/2012,10:44:32
533,533,533,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2714.0,P6491-106,Hardware,"GCCS-A/DRRS-A Commercial Off-The-Shelf (COTS) hardware procurement consisting of servers, laptops and desktops.",10/10/2011,30/09/2012,30/09/2012,30/09/2012,4.9639999999999995,4.9639999999999995,16/01/2012,10:44:32
534,534,534,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2715.0,P6491-107,Software Support,GCCS-A/DRRS-A software intial/maintenance licensing and software support.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,6.23,6.23,16/01/2012,10:44:32
535,535,535,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2716.0,P6491-108,Fielding Support,Field Support Representatives (FSRs) deployed CONUS and OCONUS to install and configure systems.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,4.306,4.306,16/01/2012,10:44:32
536,536,536,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2717.0,P6491-109,Training Support,Trainers to prepare units prior to deployment.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,1.6380000000000001,1.6380000000000001,16/01/2012,10:44:32
537,537,537,007-000006491,73.0,7.0,Department of Defense,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY,2718.0,P6491-110,PMO Support,Coordination of schedules and management activities to ensure support to the warfighter.,01/10/2011,30/09/2012,30/09/2012,30/09/2012,1.682,1.682,16/01/2012,10:44:32
538,538,538,007-000006368,74.0,7.0,Department of Defense,NAVSTAR GLOBAL POSITIONING SYSTEM (GPS),2703.0,P6368-101,Sea Navigation Warfare (NAVWAR),"Sea NAVWAR is an ACAT III program that consists of three incrments.  Increment 1 GPS Antenna System (GAS-1), Increment 2 Advanced Digital Antenna Production (ADAP), and Increment 3 Submarine Anti-Jam GPS Enhancement (SAGE).",15/05/2011,15/11/2012,15/11/2012,15/11/2012,180.1,180.1,26/10/2011,09:10:48
539,539,539,007-000006388,75.0,7.0,Department of Defense,Tactical Data Link System,2704.0,P6388-101,Common Link Integration Processing (CLIP),CLIP is a software development program that provide an enterprise solution for LINK-16 and Joint Range Extension Application Protocol message processing.,01/06/2008,01/04/2012,,,8.55,8.55,26/10/2011,09:10:50
540,540,540,007-000006388,75.0,7.0,Department of Defense,Tactical Data Link System,2705.0,P6388-102,Situation Awareness DataLink (SADL),"The Situation Awareness DataLink (SADL) integrates US Air Force Close Air Support (CAS) aircraft with the digitised battlefield via the US Army Enhanced Position Location Reporting System (EPLRS). SADL is designed to provide fighter-to-fighter, air-to-ground and ground-to-air high speed data communications that are robust, secure, jam-resistant and contention free. It has automatic and on-demand position and status reporting for situation awareness.The US Army''s Force Battlefield Command for Brigade and Below (FBCB2) employs EPLRS as the data communication system backbone for the Tactical Internet (TI). SADL, a variant of EPLRS for aircraft, takes advantage of the EPLRS networking and communications services to provide the pilot with situation awareness and combat ID for the TI.The SADL radio is integrated with the aircraft avionics and displays, providing the pilot with real-time visual tactical data exchange with his wingmen, supporting a variety of co-operative engagement tactics. Fighter positions, radar targets, fuel/weapons stores and ground target positions are shared. The fighter-to-fighter SADL network operation is autonomous and does not rely on the ground-based TI, but can join it, when present, to acquire the ground friendly TI position data. The pilot controls the point around which he can see the closest five TI ground positions, providing for fratricide avoidance in CAS missions. Network planning and initialisation is claimed to be simple and can be customised from the cockpit.",03/01/2007,30/09/2012,,,4.5,4.5,26/10/2011,09:10:50
541,541,541,007-000006388,75.0,7.0,Department of Defense,Tactical Data Link System,2706.0,P6388-103,Pocket-J,"The Pocket-Js are ground stations that allow the Continental U.S. NORAD Region, or CONR, and Air Forces Northern''s two Air Defense Sectors to directly communicate over data-links to fighter, command and control, and other data link equipped aircraft. This allows pilots to get a visual representation of where a track of interest, commonly referred to as a TOI, is rather than relying solely on voice communication to locate errant aircraft.",01/04/2009,30/09/2012,,,16.29,16.29,26/10/2011,09:10:50
542,542,542,007-000006388,75.0,7.0,Department of Defense,Tactical Data Link System,2707.0,P6388-104,Link 16 Alaska (LAK),Link 16 Alaska is a program consisting of 16 remotely managed Link 16 ground entry points throughout the Alaskan AOR.,01/09/2010,30/06/2012,,,12.42,12.42,26/10/2011,09:10:50
543,543,543,007-000006524,77.0,7.0,Department of Defense,Joint Tactical Radio System (JTRS) - Airborne and Maritime/Fixed Station (AMF),2719.0,P6524-102,System Development Demonstration (SDD),Contract awarded to Lockheed Martin Corp 28 March 2008.  Vendor will design and develop two working form factors with demonstrated capability to run five waveforms in an NSA certified environment.,28/03/2008,30/11/2013,30/11/2013,30/11/2013,682.685,453.17,30/01/2012,13:41:19
544,544,544,007-000006555,78.0,7.0,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2720.0,P6555-101,Tech Insertion/Refresh Design,Follow-on tech insertion to include design and integration of infrastructure and architecture upgrades.,01/10/2009,31/10/2010,31/10/2010,31/10/2010,5.254,4.566,04/01/2012,13:31:43
545,545,545,007-000006555,78.0,7.0,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2721.0,P6555-102,Tech Insertion/Refresh Design,Follow-on tech insertion to include design and integration of infrastructure and architecture upgrades.,01/10/2010,30/09/2017,30/12/2012,30/12/2012,7.977,8.051,20/07/2012,06:21:31
546,546,546,007-000006555,78.0,7.0,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2722.0,P6555-103,Tech Insertion/Refresh Production,DJC2 system tech insertion and tech refresh to address obsolescence and security vulnerabilities.,01/10/2010,30/09/2017,30/03/2013,30/03/2013,17.535999999999998,18.0,20/07/2012,06:21:31
547,547,547,007-000006555,78.0,7.0,Department of Defense,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2),2723.0,P6555-104,Operations and Maintenance,Operations and Maintenance of DJC2 systems.,01/10/2010,30/09/2017,30/09/2012,30/09/2012,32.739000000000004,29.176,20/07/2012,06:21:31
548,548,548,007-000006965,80.0,7.0,Department of Defense,NET CENTRIC ENTERPRISE SERVICES,2727.0,P6965-101,Net Centric Enterprise Services pre-planned product improvements,"Net-Centric Enterprise Services (NCES): The Program Executive Office (PEO) for Global Information Grid (GIG) Enterprise Services (GES) provides a portfolio of critical enterprise services to Warfighter, Business, and Intelligence end-users on the Secret Internet Protocol Router Network (SIPRNet) and the Non-Classified Internet Protocol Router Network (NIPRNet). This portfolio of services includes the services delivered by the Net-Centric Enterprise Services (NCES) Program, allows more than 2 million authorized Department of Defense (DoD) users to share information and collaborate across Components/Combatant Commands/Joint Staff/Agencies using a suite of web-accessible Collaboration capabilities supporting authorized DoD users and unanticipated users from outside the DoD; a Portal that allows users to access and share relevant information through a web-based presentation; Enterprise Search and Content Delivery services that support the exposure, discovery, retrieval, and delivery of protected information; and a Service Oriented Architecture Foundation (SOAF) to enable programs to share services-based applications across the GIG while leveraging information assurance and NetOps capabilities.The PEO-GES portfolio is rapidly expanding to include the Strategic Knowledge Integration Web (SKIWeb) service to provide decision and event management support to a widespread user base ranging from Combatant Commanders to the Joint Staff to Coalition partners on the SIPRNet; the DoD Visitor capability that allows enterprise users to go anywhere in the DoD, login, and be productive; an enterprise authoritative data source registry to provide one-stop access to DoD data source directories; and Identity and Access Management services that provide the basis for replacing time- and resource-intensive manual processes with near real-time automated account provisioning and access control.The individual capabilities within the portfolio of services provide the user with the flexibility to couple the services in varying ways providing unprecedented access to web and application content to support the users' varying and evolving missions.",01/10/2011,30/09/2012,,,1.2,1.2,26/10/2011,09:10:57
549,549,549,007-000006587,82.0,7.0,Department of Defense,Joint Tactical Radio System (JTRS) - NETWORK ENTERPRISE DOMAIN (NED),2724.0,P6587-102,Network Enterprise Domain (NED) Engineering and Manufacturing Development,"JTRS Waveforms and Network Management System Design and Development: development, testing and certification of software-defined legacy and networking radio waverforms for integration on the JTRS Products (Ground Mobile Radios (GMR), Handheld, Manpack, Small Form Fit (HMS), Airborne and Maritime / Fixed Station (AMF) and Multifunctional Information Distribution System (MIDS)).",01/10/2001,01/01/2015,01/01/2015,01/01/2015,563.12,563.12,05/04/2012,12:09:10
550,550,550,007-000006587,82.0,7.0,Department of Defense,Joint Tactical Radio System (JTRS) - NETWORK ENTERPRISE DOMAIN (NED),2725.0,P6587-103,Network Enterprise Domain (NED) Post Deployment Software Support / Post Production Software Support,NED products are delivered when Formal Qualification Test (FQT) is complete and ready to be integrated with JTRS radios.,01/10/2008,30/09/2033,30/09/2012,30/09/2012,81.949,80.77,08/05/2012,12:15:24
551,551,551,007-000006946,83.0,7.0,Department of Defense,COMMON AVIATION COMMAND AND CONTROL SYSTEM,2726.0,P6946-101,Common Aviation Command and Control System,"The Common Aviation Command and Control System (CAC2S) mission is to enable the consolidation of the existing functionality of the Marine Air Command and Control System (MACCS) into a single system and provide common hardware, software, equipment and facilities to effectively command, control and coordinate aviation operations. CAC2S will accomplish the MACCS missions with a suite of operationally scalable modules to support the Marine Air Ground Task Force (MAGTF), Joint, and Coalition Forces. CAC2S integrates the functions of aviation command and air control into an interoperable system that will support the core competencies of all Marine Corps warfighting concepts. CAC2S, in conjunction with MACCS organic sensors and weapons systems, supports the tenets of Expedetionary Maneuver Warfare and fosters joint interoperability. CAC2S Increment I will improve current Aviation Command and Control (AC2) systems in the following Marine aviation agencies: Direct Air Support Center (DASC), Tactical Air Command Center (TACC), and Tactical Air Operations Center (TAOC). Future increments encompassing Marine Air Traffic Control Detachment (MATCD), Low Altitude Air Defense Battalion (LAAD BN), Unmanned Aerial Systems (UAS) and airborne node capabilities are anticipated but are not yet baselined.CAC2S Increment I will be accomplished through a two-phased approach. Phase 1 will address the requirements to establish the baseline CAC2S capabilities for the MACCS and improve AC2 performance and effectiveness. Phase 2 will address the requirements for remaining Aviation Combat Element (ACE) Battle Management and command and control requirements. Limited Deployment Capability will be achieved by 1QFY12 with the completion of Phase 1 development. Phase 1 Full Deployment will commence in FY12. Phase 2 completion will result in the delivery of the full CAC2S Increment I capabilities and is planned to begin fielding in FY15.",25/10/2002,30/09/2038,30/09/2012,30/09/2012,42.2,42.5,15/03/2012,12:32:01
552,552,552,007-000001854,86.0,7.0,Department of Defense,Battle Control System Fixed,2664.0,P1854-101,Battle Control System-Fixed,"Battle Control System Fixed (BCS-F) is the cornerstone system for the North American Aerospace Defense Command/US Northern Command (NORAD/NORTHCOM) Homeland Defense mission.  BCS-F provides 24 hours, 7 days a week, 365 days a year Command and Control (C2) mission support within the United States and Canada to include Alaska, Hawaii, US Virgin Islands and Puerto Rico.  Its five operational locations within the US and Canada execute surveillance, identification, data link operations, weapons control, and air battle management within their respective areas of operation.  BCS-F supports other DoD and Governmental Agencies in support of various Homeland Security missions and civil relief operations.  It conducts other Special Security Event missions (Super Bowl, Presidential Inaugurations, and other requirements) and is tasked with the protection of the President and Vice-President of the US.  BCS-F conducts operations and provides tactical control for the defense of the National Capital Region mission.  The delivered capabilities of BCS-F fill existing and emerging capability and performance gaps in command and control missions, Homeland and theater air defense, civil relief, airspace management, data link management, air surveillance, weapons control, and aircraft identification.  Additionally, BCS-F enabled the cost-saving closure of one of three CONUS Air Defense Sectors, increased radar input capacity and area of coverage, and increased flight plan processing capacity.  The upgrade of hardware and software components significantly increased system operational availability and stopped sustainment shortfalls created by diminishing resources.",26/12/2006,17/02/2012,,,89.3,89.3,23/02/2012,10:30:17
553,553,553,007-000000599,899.0,7.0,Department of Defense,Integrated Personnel and Pay System - Army,2597.0,P0599-101,Integrated Personnel and Pay System - Army (IPPS-A) Increment I,"IPPS-A will provide the Army with an integrated, multi-Component, personnel and pay system which streamlines Army Human Resources (HR), enhances the efficiency and accuracy of Army personnel and pay procedures, and supports Soldiers and their families.   IPPS-A will be a web-based tool, available 24 hours a day, accessible to Soldiers, HR professionals, Combatant Commanders, personnel and pay managers, and other authorized users throughout the Army.  IPPS-A addresses major deficiencies in the delivery of military personnel and pay services and also provides internal controls and audit procedures that prevent erroneous payments and loss of funds.  IPPS-A will ultimately support the Army Hire to Retire end-to-end business process. Increment I will provide the data foundation for building functional business processes necessary to fully support the Hire to Retire life cycle across all Increment II releases. By the completion of Increment I, IPPS-A will have established a multi-Component trusted database, system infrastructure and the ability to generate multi-Component reports.",08/09/2009,07/12/2012,,,118.859,151.52,11/01/2012,08:35:33
554,554,554,007-000001005,900.0,7.0,Department of Defense,Biometrics Enabling Capability,2612.0,P1005-101,Biometrics Enabling Capability,"Biometrics Enabling Capability (BEC), an Acquisition Category (ACAT) 1- Special Interest Program, will be the Department of Defense's (DoD) authoritative biometric database repository.  Capabilities shall include multi-modal storage and matching, state-of-the-art Service Oriented Architecture (SOA), management portal, Biometrically Enabled Watch-List (BEWL), increased system capacity and processing ability and system interoperability and data sharing with government agencies and stakeholders including Department of Justice's (DOJ), Federal Bureau of Investigation (FBI), Department of Homeland Security (DHS), National Ground Intelligence Center (NGIC), Department of State (DOS), United States Central Command (USCENTCOM), United States Special Operations Command (USSOCOM) and other DoD and Federal agencies as required. Next Generation-Automated Biometric Identification System (NG-ABIS) is currently a Quick Reaction Capability (QRC) and will transition into BEC Increment 0 upon receiving a Full Deployment Decision (FDD).  NG-ABIS provides a robust capability for distinguishing friend from foe in hot spots around the globe.  NG-ABIS enables near-instantaneous device-to-database communication and lays the foundation for enhanced device-to-device communication, reducing cycle and response times.  NG-ABIS receives submissions from existing QRC-based collection devices (e.g. Biometrics Automated Toolset (BAT) and Handheld Interagency Identity Detection Equipment (HIIDE) and objective tactical collection devices being developed as part of the Joint Personnel Identification version 2 (JPIv2) program.  NG-ABIS also receives request by authorized users to perform storage retrieval, searches of biometric data collection and matching results.  NG-ABIS provides a reliable and effective tool to its primary beneficiary, the Warfighter, for overseas operations by allowing them to make near real-time retention, capture or release decision, resulting in enhanced safety and in-theater effectiveness.",01/10/2008,31/12/2012,31/12/2012,29/06/2013,19.52,25.375999999999998,23/02/2012,10:30:16
555,555,555,007-000001009,901.0,7.0,Department of Defense,Joint Personnel Identification System,2613.0,P1009-101,Joint Personnel Identification System,"Joint Personnel Indentification Version 2 (JPIv2) will provide an Army tactical biometric collection capability to capture a person''s biometric data and enroll them into the DoD enterprise authoritative biometric database to positively identify and verify the identity of actual or potential adversaries.  JPIv2 development will be informe by prototype collection capabilities provided by the Biometrics Automated Toolset-Army (BAT-A) and the Handheld Interagency Identity Detection Equipment (HIIDE).  U.S. forces are currently operating unilaterally or in combination with joint, multinational and interagency partners to identify unknown individuals and verify the identity of person(s) in any situation across the full spectrum of military operations, to include Overseas Contingency Operations. Capabilities envisioned for JPIv2 will be configurable for multiple operational mission environments. Tactical biometric capabilities will revolutionize individual-oriented DoD operations such as detainee management and questioning, base access, counterintelligence screening, border control, humanitarian assistance and displaced persons management by increasing identification accuracy; imporving the efficiency of the identification process; ensuring a more comprehensive view of the individual in question, such as previous aliases and activities; and raising overall effectiveness of all of the aforementioned operational uses. Primary stakeholders include Army, Department of Justice (DOJ), Federal Bureau of Investigation (FBI), Department of Homeland Security (DHS), National Ground Intelligence Center (NGIC), Department of State (DOS), United States Central Command (USCENTCOM), United States Special Operations Command (USSOCOM) and other DoD and Federal agencies as required.",01/10/2009,26/01/2015,14/02/2013,14/02/2013,28.74,28.74,11/01/2012,08:35:33
