Investment ID,Business Case ID,Investment Title
024-000005609,181,TSA - Performance Management Information System (PMIS)
024-000006079,193,USCG - Rescue 21
024-000006074,194,USCG - Ports and Waterways Safety System - IT
024-000006005,195,USCG - Nationwide Automatic Identification System (NAIS)
024-000006117,197,USCG - Interagency Operations Centers (IOC)
024-000006010,200,USCG - Direct Access
024-000006077,202,USCG - CG Business Intelligence (CGBI)
024-000006115,203,USCG - CG-LIMS
024-000006343,204,USCG - C4ISR
024-000006006,205,USCG - Asset Logistics Management Information System (ALMIS)
024-000004053,208,USSS - IT Infrastructure
024-000005116,303,CBP - Land Border Integration (LBI)
024-000005056,304,CBP - SAP
024-000005064,307,CBP - Tactical Communications (TACCOM) Modernization
024-000005358,308,ICE - TECS Modernization
024-000005188,311,CBP - Infrastructure
024-000005052,312,CBP - Automated Targeting System (ATS) Maintenance
024-000005053,314,CBP - Automated Commercial Environment / International Trade Data System (ACE / ITDS)
024-000005137,315,CBP - Analytical Framework for Intelligence
024-000005138,316,CBP - Advance Passenger Information System (APIS)
024-000003015,319,USCIS - Transformation
024-000003038,320,USCIS - Naturalization - CLAIMS 4
024-000003030,321,USCIS - Integrated Document Production (IDP)
024-000003036,324,USCIS - Immigration - CLAIMS 3.0
024-000003029,327,USCIS - Benefits Provision - Verification Information System (VIS)/Employment Eligibility Verification (EEV)
024-000005119,389,CBP - Non-Intrusive Inspection (NII) Systems Program
024-000003129,419,USCIS - Infrastructure (Enterprise)
024-000005670,834,TSA - Air Cargo Security
024-000005395,836,ICE - Criminal Alien Identification Initiatives (CAII)
024-000004054,837,USSS - Information Integration and Technology Transformation (IITT)
024-000009540,853,NPPD - Next Generation Networks Priority Services (NGN-PS)
024-000009502,855,NPPD - Critical Infrastructure Technology and Architecture (CITA)
024-000005072,1104,CBP - TECS Modernization
024-000005217,1107,CBP - Integrated Fixed Towers (IFTs)
024-000005219,1108,"CBP - Northern Border, Remote Video Surveillance System (RVSS)"
024-000005220,1109,CBP - Remote Video Surveillance Systems (RVSS)
024-000005216,1110,CBP - Block 1
024-000005218,1111,CBP - Mobile Surveillance Capabilities (MSC)
025-000004370,665,Core Financial Services
025-000004570,669,Mortgage Insurance
025-000004480,738,Grants Management
025-000004440,741,Enterprise Services - IT Modernization
025-000004310,747,Acquisition Management
025-000004580,856,Voucher Management
025-000004320,857,Analytical Services
025-000004520,885,Human Resources Automated Services
026-000002411,32,Integrated Collaborative Environment
026-000001501,37,NASA Earth Observing System Data Information System (EOSDIS)
026-000005010,38,JSC DA Flight Operations User Applications (UA)
026-000005020,39,JSC DA Mission Control Center Systems (MCCS)
026-000005030,40,JSC DA Space Station Training Facility (SSTF)
026-000001001,42,MSFC - ED - Payload Operations and Integration Center (POIC)
026-000001502,43,NASA Center for Climate Simulation (NCCS)
026-000001124,45,NASA High-End Computing Capability (HECC)
026-000000001,46,NASA IT Infrastructure
026-000000002,869,"Nebula(TM), Formerly NASA Cloud Services, Powered by Nebula(TM)"
027-000000010,593,Consolidated Business Information System (CBIS)
027-999990032,594,Human Resources Line of Business (HR LOB)
027-000000029,595,Health Claims Data Warehouse and Analysis (HCDW)
027-999991219,596,EHRI electronic Official Personnel Folder (eOPF)
027-000000020,597,EPIC Transformation
027-000000019,598,EPIC Operations and Maintenance (O &amp; M)
027-000000053,600,USAJOBS
027-000000018,601,Enterprise Infrastructure Operations (EIO)
027-000000052,872,USA Staffing System
028-000001004,461,OCA: Loan Accounting System (LAS)
028-000000100,465,OCPL: Business Gateway
028-000007007,466,OCIO: Identity and Access Management and Homeland Security Presidential Directive-12 (HSPD-12)
028-000008007,888,OII: Small Business Innovative Research (SBIR)
028-000002003,892,OII: Small Business Investment Company (SBIC)
028-000003005,1097,GCBD: GCBD Consolidated IT Investments
028-000007008,1098,OCIO: IT Infrastructure
029-888888105,7,InterAgency 21st Century-One Vet
029-555555110,8,Medical 21st Century TeleHealth
029-666666107,391,Benefits 21st Century Education
029-666666265,468,Benefits 21st Century Paperless Delivery of Veterans Benefits
029-666666109,470,Benefits Legacy
029-666666264,471,Benefits Legacy VETSNET
029-777777106,472,Corporate 21st Century Core
029-777777029,473,Corporate 21st Century SAM
029-777777109,474,Enterprise IT Support
029-888888101,478,InterAgency 21st Century Core
029-888888104,479,InterAgency 21st Century Enrollment Systems Redesign
029-888888103,480,InterAgency 21st Century PIV
029-888888102,481,InterAgency 21st Century Veterans Interoperability
029-555555111,482,Medical 21st Century Bar Code Expansion(BCE)
029-555555194,483,Medical 21st Century CAPRI
029-555555108,484,Medical 21st Century Development Core
029-555555222,485,Medical 21st Century Laboratory
029-555555242,486,Medical 21st Century MyHealtheVet
029-555555184,487,Medical 21st Century Pharmacy(PRE)
029-555555109,488,Medical 21st Century Registries
029-555555189,489,Medical 21st Century Revenue Improvement and Systems Enhancements - 2012 (RISE)
029-555555113,492,Medical Legacy
184-000000008,10,GLAAS - Global Assistance and Acquisition System
184-000000028,11,IT Transition
184-000000005,12,Phoenix - Financial Management System
184-000000016,392,Steady State IT Infrastructure & Technology Modernization Program
202-000001017,761,Electronic Data Warehouse
202-000001020,763,Emergency Response Program (ENGLink)
202-000001031,766,Operations & Maintenance Business Info Link PLUS (OMBIL)
202-000001060,768,Real Estate Management Information System (REMIS)
202-000002015,824,USACE  Automation
202-000002016,825,USACE Communications
202-000002017,826,Information Assurance
393-000000031,789,Archives and Records Center Information System (ARCIS)
393-000000008,790,IT Infrastructure
393-000000004,792,Case Management and Reporting System (CMRS)
393-000000038,795,Holdings Management System (HMS)
393-000000001,799,Electronic Records Archives (ERA)
393-000000042,1102,Description and Authority Services (DAS)
422-000000032,450,"IT Infrastructure, Office Automation and Telecommunications"
422-000001327,451,iTRAK
422-000000001,453,Financial and Accounting System (FAS)
422-999991361,454,Research.gov
422-000001328,852,Legacy Mission Applications
429-000002005,4,Incident Response System (IRS)
429-000001020,9,Budget Formulation System (BFS)
429-000000010,89,Agencywide Documents Access and Management System (ADAMS)
429-000002016,90,Time and Labor Modernization (TLM)
429-000001100,112,Core Financial System - Replacement (CFS)
429-000002080,128,Enterprise Project Management (EPM)
429-000001012,129,Infrastructure Services and Support (ISS)
429-000001014,1034,Business Application System Support (BASS)
429-000001001,1035,Integrated Source Management Portfolio (ISMP)
